,Hinrunde: Spieltag 1-7,,Hinrunde: Spieltag 8-13,,Rückrunde: Spieltag 14-20,,Rückrunde: Spieltag 21-26

,Kämpfe kommen von 12.00 - 18:00 Uhr!,,Kämpfe kommen von 12.00 - 18:00 Uhr!,,Kämpfe kommen von 12.00 - 18:00 Uhr!,,Kämpfe kommen von 12.00 - 18:00 Uhr!


,1. Spieltag - Sonntag der 31.01.2016,,8. Spieltag - Sonntag der 20.03.2016,,14. Spieltag - Sonntag der 8.05.2016,,21. Spieltag - Sonntag der 26.06.2016

,         Minetube [3 - 0] CaptainCrinch,,  FanmadeLetsPlay [4 - 0] Minetube,,            Minetube [4 - 0] CaptainCrinch,,FanmadeLetsPlay [1 - 0] Minetube
,         Regi [3 - 0] Parsifani ,,                     Raizor [0 - 2] Lauris,,                   Regi [1 - 0] Parsifani,,                   Raizor [0 - 1] Lauris
,            Art'n'Gaming [0 - 4] Raizor,,                  Parsifani [4 - 0] Shiro,,      Art'n'Gaming [0 - 3] Raizor,,               Parsifani [0 - 1] Shiro
,        FullLifeGames [0 - 2] FanmadeLetsPlay,,         CaptainCrinch [2 - 0] SurskitTV,,    FullLifeGames [4 - 0] FanmadeLetsPlay,,       CaptainCrinch [1 - 0] SurskitTV
,                PresentLP [2 - 0] Lauris,,                        Regi [1 - 0] PokéBazi,,          PresentLP [0 - 2] Lauris,,                      Regi [0 - 1] PokéBazi
,                    oktopaul [0 - 4] Shiro,,           Art'n'Gaming [1 - 0] oktopaul,,              oktopaul [0 - 2] Shiro,,         Art'n'Gaming [2 - 0] oktopaul
,                  PokéBazi [0 - 3] SurskitTV,,          FulllifeGames [0 - 2] PresentLP,,            PokéBazi [0 - 5] SurskitTV,,      FullLifeGames [1 - 0] PresentLP


,2. Spieltag - Sonntag der 07.02.2016,,9. Spieltag - Sonntag der 27.03.2016,,15. Spieltag - Sonntag der 15.05.2016,,22. Spieltag - Sonntag der 03.07.2016

,               SurskitTV [0 - 3] Minetube,,                 Minetube [0 - 1] PresentLP,,             SurskitTV [0 - 3] Minetube,,              Minetube [0 - 2] PresentLP
